jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2021,46,19,Finanzerträge,Gesamtsumme,,,67197.36
2021,46,19,Finanzerträge,Teilergebnis,111004,Finanzbuchhaltung,3.31
2021,46,19,Finanzerträge,Teilergebnis,522000,Wohnungsbauförderung,1909.92
2021,46,19,Finanzerträge,Teilergebnis,532000,Gasversorgung,62418.66
2021,46,19,Finanzerträge,Teilergebnis,612000,sonstige allg. Finanzwirtschaft,2865.47
