jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2023,40,1,Steuern und ähnliche Abgaben,Gesamtsumme,,,8634446.44
2023,40,1,Steuern und ähnliche Abgaben,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",8634446.44
