jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2021,40,1,Steuern und ähnliche Abgaben,Gesamtsumme,,,6122902.62
2021,40,1,Steuern und ähnliche Abgaben,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",6122902.62
