jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2024,40,1,Steuern und ähnliche Abgaben,Gesamtsumme,,,7424229.54
2024,40,1,Steuern und ähnliche Abgaben,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",7424229.54
