jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2020,40,1,Steuern und ähnliche Abgaben,Gesamtsumme,,,4809378.13
2020,40,1,Steuern und ähnliche Abgaben,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",4809378.13
